"Coos County,  Oregon", Oregon
"Coös County,  New Hampshire", New Hampshire
"Coosa County,  Alabama", Alabama
"Copiah County,  Mississippi", Mississippi
"Copper River Census Area,  Alaska", Alaska
"Corozal Municipality,  Puerto Rico", Puerto Rico
"Corson County,  South Dakota", South Dakota
"Cortland County,  New York", New York
"Coryell County,  Texas", Texas
"Coshocton County,  Ohio", Ohio
"Costilla County,  Colorado", Colorado
"Cottle County,  Texas", Texas
"Cotton County,  Oklahoma", Oklahoma
"Cottonwood County,  Minnesota", Minnesota
"Covington County,  Alabama", Alabama
"Covington County,  Mississippi", Mississippi
"Coweta County,  Georgia", Georgia
"Cowley County,  Kansas", Kansas
"Cowlitz County,  Washington", Washington
"Craig County,  Oklahoma", Oklahoma
"Craig County,  Virginia", Virginia
"Craighead County,  Arkansas", Arkansas
"Crane County,  Texas", Texas
"Craven County,  North Carolina", North Carolina
"Crawford County,  Arkansas", Arkansas
"Crawford County,  Georgia", Georgia
"Crawford County,  Illinois", Illinois
"Crawford County,  Indiana", Indiana
"Crawford County,  Iowa", Iowa
"Crawford County,  Kansas", Kansas
"Crawford County,  Michigan", Michigan
"Crawford County,  Missouri", Missouri
"Crawford County,  Ohio", Ohio
"Crawford County,  Pennsylvania", Pennsylvania
"Crawford County,  Wisconsin", Wisconsin
"Creek County,  Oklahoma", Oklahoma
"Crenshaw County,  Alabama", Alabama
"Crisp County,  Georgia", Georgia
"Crittenden County,  Arkansas", Arkansas
"Crittenden County,  Kentucky", Kentucky
"Crockett County,  Tennessee", Tennessee
"Crockett County,  Texas", Texas
"Crook County,  Oregon", Oregon
"Crook County,  Wyoming", Wyoming
"Crosby County,  Texas", Texas
"Cross County,  Arkansas", Arkansas
"Crow Wing County,  Minnesota", Minnesota
"Crowley County,  Colorado", Colorado
"Culberson County,  Texas", Texas
"Culebra Municipality,  Puerto Rico", Puerto Rico
"Cullman County,  Alabama", Alabama
"Culpeper County,  Virginia", Virginia
"Cumberland County,  Illinois", Illinois
"Cumberland County,  Kentucky", Kentucky
"Cumberland County,  Maine", Maine
"Cumberland County,  New Jersey", New Jersey
"Cumberland County,  North Carolina", North Carolina
"Cumberland County,  Pennsylvania", Pennsylvania
"Cumberland County,  Tennessee", Tennessee
"Cumberland County,  Virginia", Virginia
"Cuming County,  Nebraska", Nebraska
"Currituck County,  North Carolina", North Carolina
"Curry County,  New Mexico", New Mexico
"Curry County,  Oregon", Oregon
"Custer County,  Colorado", Colorado
"Custer County,  Idaho", Idaho
"Custer County,  Montana", Montana
"Custer County,  Nebraska", Nebraska
"Custer County,  Oklahoma", Oklahoma
"Custer County,  South Dakota", South Dakota
"Cuyahoga County,  Ohio", Ohio
"Dade County,  Georgia", Georgia
"Dade County,  Missouri", Missouri
"Dade County,  (Florida)", (Florida)
"Daggett County,  Utah", Utah
"Dakota County,  Minnesota", Minnesota
"Dakota County,  Nebraska", Nebraska
"Dale County,  Alabama", Alabama
"Dallam County,  Texas", Texas
"Dallas County,  Alabama", Alabama
"Dallas County,  Arkansas", Arkansas
"Dallas County,  Iowa", Iowa
